#Society
tea_enthusiasts;Tea Enthusiasts;;;;;;;;;;;x

tea_enthusiasts_desc;A society for the gentler folk, who enjoy nothing more than a delicious cup of tea on a crisp morning, and a friend to share the delight with.;;;;;;;;;;;x
#Ranks
tea_enthusiasts_rank_1_male;Enthusiast;;;;;;;;;;;x
tea_enthusiasts_rank_2_male;Tea Lover;;;;;;;;;;;x
tea_enthusiasts_rank_3_male;Gifted Brewer;;;;;;;;;;;x
tea_enthusiasts_rank_4_male;Master of Leaves;;;;;;;;;;;x
tea_enthusiasts_rank_1_female;Enthusiast;;;;;;;;;;;x
tea_enthusiasts_rank_2_female;Tea Lover;;;;;;;;;;;x
tea_enthusiasts_rank_3_female;Gifted Brewess;;;;;;;;;;;x
tea_enthusiasts_rank_4_female;Mistress of Leaves;;;;;;;;;;;x
#Quests - General
quest_remove_negative_trait_event;There are those out there who feel lost, suffering wounds the eye cannot see. Sometimes it helps knowing someone out there cares for them, who's willing to sit down and listen to their problems over a cup of tea.\nWould you be so kind to find someone in pain, and give them the console they need?;;;;;;;;;;;x
quest_remove_negative_trait;Share Tea with Someone in Pain;;;;;;;;;;;x
quest_remove_negative_trait_desc;Remove a negative trait from someone by §Ysharing tea§! with them.;;;;;;;;;;;x
quest_remove_negative_trait_event_success;Thank you for taking the time to share tea with someone in pain. Sometimes, the best way to solve your own problems is to help someone else.;;;;;;;;;;;x
quest_remove_negative_trait_event_success_option;Such wise words!;;;;;;;;;;;x
quest_have_a_cup_of_tea_event;You! Yes you! You've joined our society, but are you really committed to our noble cause? Show us your devotion! Go make yourself a cup of tea!;;;;;;;;;;;x
quest_have_a_cup_of_tea;Make a Cup of Tea in Real Life;;;;;;;;;;;x
quest_have_a_cup_of_tea_desc;Make a cup of tea in §Yreal life§!, then go complete the §YI Made a Cup of Tea§! decision.;;;;;;;;;;;x
quest_have_a_cup_of_tea_success;Well, were you able to make a cup of tea for yourself?;;;;;;;;;;;x
quest_have_a_cup_of_tea_made;Yes, I made a cup of tea!;;;;;;;;;;;x
quest_have_a_cup_of_tea_not_made;Sorry, but I didn't have any tea to make...;;;;;;;;;;;x
quest_have_a_cup_of_tea_made_event;That's excellent! Tea is wonderful for your health, and it tastes delicious!;;;;;;;;;;;x
quest_have_a_cup_of_tea_made_option;I am a True Tea Enthusiast!;;;;;;;;;;;x
quest_have_a_cup_of_tea_not_made_event;That's alright, there is no shame in being honest. Not everyone can up and make tea at the drop of a hat!;;;;;;;;;;;x
quest_have_a_cup_of_tea_not_made_option;Thank you for understanding.;;;;;;;;;;;x
quest_gather_tea_ingredients_event;Besides our love of tea, we in the society bond over time spent together. That's why it's appreciated when someone puts in the effort to host a tea party. Why not give it a try? You'll have to gather some ingredients, first, but then you'll be well on your way.;;;;;;;;;;;x
quest_gather_tea_ingredients;Gather Tea Ingredients;;;;;;;;;;;x
quest_gather_tea_ingredients_desc;Complete the §YSearch for Tea Ingredients§! decision.;;;;;;;;;;;x
quest_host_tea_party_event;Excellent! With the ingredients you've gathered, the time has come to throw the party! Send out the invitations immediately!;;;;;;;;;;;x
quest_host_tea_party;Host Tea Party;;;;;;;;;;;x
quest_host_tea_party_desc;Complete the §YHost Tea Party§! decision.;;;;;;;;;;;x
#Quests - Path of the Self
quest_relaxing_afternoon_event;The world moves so fast, and we can often find ourselves swept away by all the worries and responsibilities of day-to-day life. \nWhy not take an afternoon off, and simply enjoy the beauty of nature with a steaming cup of tea?;;;;;;;;;;;x
quest_relaxing_afternoon;Take An Afternoon Off;;;;;;;;;;;x
quest_relaxing_afternoon_desc;Complete the §YTake An Afternoon Off§! decision.;;;;;;;;;;;x
quest_relaxing_afternoon_success;So how did you enjoy your afternoon off? Did you find it enlightening?;;;;;;;;;;;x
quest_relaxing_afternoon_success_option;Yes! It was very fruitful!;;;;;;;;;;;x
quest_teach_kindness_event;While it is always best to believe in oneself, a little help from others can be a great blessing. Have you considered sharing the wisdom of kindness with someone, over a hot cup of tea?;;;;;;;;;;;x
quest_teach_kindness;Teach Kindness;;;;;;;;;;;x
quest_teach_kindness_desc;Teach someone the §YKind§! trait by sharing §YEnlightening Tea§! with them.;;;;;;;;;;;x
quest_teach_kindness_success;The seeds of kindness sewn might seem small, but will one day grow into a profound forest of virtue.;;;;;;;;;;;x
quest_teach_kindness_success_option;Teaching kindness is its own reward.;;;;;;;;;;;x
quest_educate_event;Not everyone is as blessed with knowledge as we are. Some have struggled through life, and now suffer without a proper education. Go, take some time to be a teacher, and use your wisdom as a charity!;;;;;;;;;;;x
quest_educate;Educate Someone in Need;;;;;;;;;;;x
quest_educate_desc;§YEducate§! someone who has a level one (lowest) §YEducation.§!;;;;;;;;;;;x
quest_educate_success;None are so close to spiritual harmony as passionate teachers, for they are the embodiment of all good -- patience, knowledge, and a desire to see others grow strong.;;;;;;;;;;;x
quest_educate_success_option;May my students surpass me, and find outstanding greatness.;;;;;;;;;;;x
quest_family_focus_event;As the seasons change, so too do feelings of love inevitably turn to feelings of loss. It is a sad, beautiful cycle, pressed upon us from the dawn of humanity. So go, live and love with your family! Cherish these moments before you no longer can!;;;;;;;;;;;x
