#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
JOB_PROSELYTIZE_DIFFERENT_RELIGION_GROUP;Spread Philosophy: §RProvince cannot be converted. Current Belief: §!§Y[Root.Religion.GetName]§!;Faire du prosélytisme: §GLa province peut être convertie. Religion actuelle: §!§Y[Root.Religion.GetName]§!;Bekehren: §GProvinzen können konvertiert werden. Momentane Religion: §!§Y[Root.Religion.GetName]§!;;Proselitismo: §Gse puede convertir la provincia. Religión actual: §!§Y[Root.Religion.GetName]§!;;;;;;;;;x
can_convert_via_decision;Can Ask for Conversion;;;;;;;;;;;;;x
sw_summon_dragon_warrior_condition;You must wait nine hundred days since you last summoned a Dragon to do so again.;;;;;;;;;;;;;x
sw_1;Summon Dragon Warrior;;;;;;;;;;;;;x
sw_1_desc;In the glory days, the Sun Warriors rode into battle atop mighty Dragons, a powerful and deadly partnership. Our successes on the battlefield may have finally brought forth a warrior from your ranks worthy of a Dragon's respect, and a powerful new asset.;;;;;;;;;;;;;x
sw_summon_dragon_warrior;This decision will summon one mighty Dragon Warrior to our capital. This unit will never require upkeep.;;;;;;;;;;;;;x
sw_2;Restore the Sun Kingdom's Glory;;;;;;;;;;;;;x
sw_2_desc;The ancient Kingdom of the Sun Warriors once spanned the Fire Isles and beyond. If we are to take the first step forward to reclaiming our ancestor's glory, we must recreate their achievement, conquering the territories where their strongholds used to stand. Only then can we truly claim the Eternal Flame burns brighter than all others.;;;;;;;;;;;;;x
sw_enable_conversion;§YYou can now convert characters and provinces to the teachings of the Eternal Flame.§!;;;;;;;;;;;;;x
sw_3;Empire of the Sun;;;;;;;;;;;;;x
sw_3_desc;Our dominance over the Fire Isles is unquestionable now, as the Sun Warriors once again reclaim their rightful place in the world. With the ancient territories recovered, it is time to forge a new age as we go onward, under the rule of a new Empire of the Sun.;;;;;;;;;;;;;x
sw_4;Recover Treasures;;;;;;;;;;;;;x
sw_4_desc;The ancient isle of Aztlan is home to many treasures and relics of an age long past. In this hour of need, it is perhaps that may need to recover some of these artefacts from their resting place in order to serve our people once more.;;;;;;;;;;;;;x
sw_need_territory_aztlan;Control §YAztlan§!;;;;;;;;;;;;;x
sw_need_territory_boiling_rock;Control §Ythe Boiling Rock§!;;;;;;;;;;;;;x
sw_need_territory_dragon_island;Control §YDragon Island§!;;;;;;;;;;;;;x
sw_need_territory_ishigaki;Control §YIshigaki§!;;;;;;;;;;;;;x
sw_need_territory_koloa;Control §YKoloa§!;;;;;;;;;;;;;x
ADUELdesc.900;After days of work, your best craftsmen presents you with a splendid crown, restored from it's ancient form. Though many marvel at it's splendidness, while others scowl at your attempt to recapture long-past glory, it is clear this crown shall serve as a reminder of your people's great heritage.;;;;;;;;;;;;;x
ADUELoptA.900;Most magnificent… ;;;;;;;;;;;;;x
ADUELtitle.901;Restoration;;;;;;;;;;;;;x
ADUELdesc.901;In a spectacular reversal of fortunes, the Sun Warriors have finally emerged from their decline into extinction, pressing forth to recapture several lost territories. News of these battles is spreading far and wide. This is a shock to many, especially to those beyond the Fire Isles who believed the ancient people a myth. Is is without a doubt now however, that the Eternal Flame shines bright once again.;;;;;;;;;;;;;x
ADUELoptA.901;May our new realm last as long as the Flame itself.;;;;;;;;;;;;;x
ADUELoptB.901;Bah, these fool's empire started declining for a reason.;;;;;;;;;;;;;x
ADUELoptC.901;What an interesting people, these Sun Warriors are...;;;;;;;;;;;;;x
ADUELtitle.902;A New Empire;;;;;;;;;;;;;x
ADUELdesc.902;As shocking as their initial resurgence from extinction, the Sun Warriors have fought on to forge themselves a new empire to rival their ancestors. It can be truly said that there is a new power in this world, that power being the Empire of the Sun. Only time will tell how far the Sun Warrior's new found power will take them.;;;;;;;;;;;;;x
ADUELoptA.902;Our people have once again reclaimed their rightful place...;;;;;;;;;;;;;x
ADUELoptB.902;We reclaim our own place in the sun...;;;;;;;;;;;;;x
ADUELoptC.902;What a spectacular turn in history.;;;;;;;;;;;;;x
